session,birth_year,home_location,sex,caretaker,visit_frequency
IMQYYL,1991,Jawa Barat - Kota Depok,Laki,Orang tua,
XHMQVM,1993,Banten - Kota Tangerang,Laki,Orang tua,lebih dari 24
OQHPQE,1995,Jawa Timur - Kota Surabaya,Perempuan,Orang tua,12-24
SSXYPN,1993,DKI Jakarta,Laki,Keluarga,lebih dari 24
IGGAXC,1965,DKI Jakarta,Perempuan,Orang tua,1-2
LMLLDP,1986,DKI Jakarta,Perempuan,Orang tua,12-24
MHTLSE,1989,DKI Jakarta - Kota Administrasi Jakarta Selatan,Laki,,3-5
UDIFDH,1971,Jawa Timur - Kabupaten Tulungagung,Laki,Keluarga,
JUVFUB,1989,Jawa Barat - Kota Bogor,Perempuan,Orang tua,12-24
XSQXFC,1989,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Orang tua,lebih dari 24
RSJUQA,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,12-24
ELVBUR,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,6-12
VKXUTL,1991,Jawa Barat - Kota Depok,Perempuan,Orang tua,12-24
NJFWXB,1994,DKI Jakarta,Laki,Orang tua,0
PKRAQJ,1991,Jawa Barat - Kota Depok,Laki,Orang tua,6-12
TYQIWD,1992,Jawa Tengah - Kota Semarang,Laki,Orang tua,1-2
FHIWYK,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,
SWFEDT,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,3-5
LCOEOP,1972,#NAME?,Perempuan,"Orang tua (Bengkulu)Sendiri (Klg, Bandung)",
MPNGOZ,1968,Sumatera Barat - Kota Padang,Perempuan,Orang tua,12-24
YSVVHS,1964,Sumatera Utara - Kabupaten Mandailing Natal,Laki,Orang tua,1-2
KTXAPZ,1986,Jawa Barat - Kota Bekasi,Laki,Ibu,lebih dari 24
URPLCK,1970,DKI Jakarta,Laki,Orang tua,3-5
WXOJJO,1974,DKI Jakarta - Kota Administrasi Jakarta Timur,Perempuan,Orang tua,12-24
USZMFP,1972,Banten - Kota Tangerang,Perempuan,Orang tua,3-5
ULRVRU,1985,Jambi - Kota Jambi,Perempuan,Orang tua,3-5
WDCPKT,42, ,Perempuan,Orang tua,
QNKUEZ,34, ,Perempuan,Orang tua,
NFZLNF,27, ,Perempuan,Orang tua,
JEYOCX,30, ,Perempuan,Orang tua,
JTDHGU,51, ,Perempuan,Orang tua,
SRATZR,1976,Jawa Barat - Kabupaten Bandung,Perempuan,,
RCOAEG,55, ,Perempuan,Orang tua,
UZFNOY,1976,Jawa Barat - Kabupaten Bandung,Perempuan,Orang tua,12-24
BCUYLZ,23, ,Perempuan,Orang tua,
VEDUDK,29, ,Perempuan,Orang tua,
GRBUMM,51, ,Perempuan,Orang tua,
ZBHIEX,33, ,Perempuan,orang tua,
UJXDTZ,30, ,Laki,Orang tua,
UQZYZV,28, ,Laki,Orang tua,
JCJCYK,53, ,Laki,Orang tua,
UTEUTM,32, ,Perempuan,Orang tua,
GXDGWU,30, ,Perempuan,Orang tua,
QMWCZY,50, ,Perempuan,Orang tua,
RQLIER,34, ,Perempuan,Orang tua,
RKTJLL,43, ,Perempuan,Orang tua,
HJUTUJ,1979,Jawa Barat - Kabupaten Bandung,Laki,dengan orang tua,
KWBFEA,49, ,Laki,Orang tua,
INOQSW,1979,DKI Jakarta - Kota Administrasi Jakarta Utara,Perempuan,orang tua dan saudara kandung,
STDKAW,50, ,Perempuan,Orang tua,
ALDDVS,1981,Jawa Barat - Kabupaten Bandung Barat,Perempuan,orang tua,
NZGDOR,62, ,Perempuan,Orang tua,
DWTZRZ,55, ,Perempuan,Orang tua,
ZLYHLS,48, ,Perempuan,Orang tua,
YXVBXI,62, ,Perempuan,Orang tua,
QMRKUR,60, ,Perempuan,Orang tua,
BMDKPY,1971, ,Laki,,
DTDVUS,1991,Jawa Tengah - Kota Semarang,Perempuan,orang tua,
WYNGZC,1972,Jawa Barat - Kota Bandung,Perempuan,orang tua,
BOAXJQ,1993,Jawa Barat - Kabupaten Bekasi,Laki,orang tua saya,lebih dari 24
ZKCOUE,60, ,Perempuan,Orang tua,
MZTYGG,41, ,Laki,Orang tua,
MORHAA,52, ,Perempuan,Orang tua,
LBEIIM,1985,DKI Jakarta - Kota Administrasi Jakarta Utara,Perempuan,orangtua,
CDDPXQ,1991,DKI Jakarta - Kota Administrasi Jakarta Selatan,Perempuan,orang tua,
RFOTJC,1989,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,orangtua,lebih dari 24
RCJNKH,1990,Jawa Tengah - Kabupaten Semarang,Perempuan,Orang tua dan kakak perempuan,1-2
CMLUZC,1990,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,orang tua,1-2
OKXYRY,1995,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,Orangtua,6-12
DVSIWS,1990,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,Orang tua,
VUZLIN,1979,Nusa Tenggara Timur - Kabupaten Ende,Laki,orang tua dan saudara saya,1-2
AJKTRY,1976,Sumatera Utara - Kota Medan,Perempuan,orangtua,
EEQRRI,1976,DKI Jakarta - Kota Administrasi Jakarta Barat,Laki,Orang tua dan adik,
LTPQOE,0,Aceh - Kabupaten Aceh Barat,Laki,hsthtrjhrdtjdrtjytdj,
YKELNM,1975,DKI Jakarta - Kota Administrasi Jakarta Selatan,Perempuan,Orang tua,1-2
KOIFPS,1989,Banten - Kabupaten Tangerang,Perempuan,Orang Tua,0
JNZKWY,1986,Aceh - Kabupaten Aceh Timur,Laki,,0
WIYLSJ,1987,Sumatera Utara - Kota Medan,Laki,keluarga,1-2
YCINJS,1989,Jawa Barat - Depok,Perempuan,Orang tua dan adik kandung,1-2
XTDJGS,1989,DKI Jakarta - Kota Administrasi Jakarta Utara,Perempuan,Orang tua,
QYXXTS,1982,Jawa Barat - Kota Bandung,Perempuan,,
IQVJFG,1978,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,orang tua kandung,
ERWQNV,1974,Jawa Barat - Kabupaten Sukabumi,Perempuan,"orangtua, kakak, adik",1-2
GZWPKN,1980,DKI Jakarta - Kota Administrasi Jakarta Selatan,Perempuan,orang tua,
KAWLNM,1986,Jawa Barat - Kota Bogor,Perempuan,Orang tua.,1-2
SXOPFX,1971,Jawa Barat - Kota Bandung,Laki,saya tumbuh dan besar bersama kedua orang tua dan empat orang kakak,lebih dari 24
CJSYRU,, ,,,
SWFRGI,1987,Jawa Barat - Kabupaten Garut,Laki,Keluarga,
KTIWMA,1981,Jawa Tengah - Kota Surakarta,Laki,orang tua,6-12
LLCJRR,1991,Banten - Kota Tangerang,Laki,Orangtua,
ITIHHY,1987,Jawa Timur - Kabupaten Nganjuk,Perempuan,Orangtua,
UXWZPO,1982,Jambi - Kota Jambi,Laki,Dengan kakak dan adik.,
LZKTRI,1988,Jawa Barat - Kota Bekasi,Perempuan,Nenek,3-5
CQYTJQ,1969,Nusa Tenggara Timur - Kabupaten Belu,Perempuan,orang tua,
UYEYYD,1984,Nusa Tenggara Timur - Kabupaten Alor,Laki,Orangtua,
QTJBLB,1959,Jawa Timur - Kabupaten Kediri,Perempuan,Orangtua,1-2
IGXXXZ,1984,Nusa Tenggara Timur - Kabupaten Alor,Laki,Orangtua,lebih dari 24
OSZPHF,1978,Jawa Barat - Kota Bogor,Perempuan,Ayah dan Ibu,
KGMDTY,, ,,,
VNCRNX,1992,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Orang tua dan saudara kandung,
MFQDRS,,Jambi - Kota Jambi,Perempuan,Orang tua,3-5
NUOLXJ,1990,#NAME?,Laki,Orang tua,
OHMNAN,1994,Jambi - Kota Jambi,Perempuan,Orang tua,lebih dari 24
BPTQVJ,1993,Jambi - Kabupaten Muaro Jambi,Perempuan,Orang tua,3-5
YOTKIH,1995,Jambi - Kabupaten Sarolangun,Perempuan,saudara/kakak,6-12
HAVUGI,1995,Jambi,Perempuan,Orangtua,3-5
JROEGM,1995,Jambi,Perempuan,Mama angkat,12-24
JZRBIK,1995,Jambi - Kabupaten Tanjung Jabung Timur,Perempuan,Orang tua,lebih dari 24
FDPGUQ,1994,Jambi - Kota Jambi,Perempuan,Orang tua,6-12
LMMWRS,1995,Jambi - Kabupaten Tebo,Perempuan,Orangtua,lebih dari 24
PQAXZC,1994,Jambi - Muara Bungo,Perempuan,Orangtua,
BIJMRG,1995,Jambi - Kabupaten Batanghari,Perempuan,Orangtua,6-12
FVIJIF,1995,Jambi - Kabupaten Bungo,Perempuan,Orang tua,lebih dari 24
OAPIRD,1992,Jambi - Kabupaten Muaro Jambi,Perempuan,Orang tua,1-2
LLJJJJ,1995,Jambi - Kota Jambi,Perempuan,Orangtua,3-5
UQBWIX,1995,Jambi - Kotamadya,Perempuan,Orangtua,3-5
NCLKNJ,1994,Jambi - Tungkai Ulu,Laki,Orang tua,1-2
RXGDAA,1995,Jambi - Kabupaten Tebo,Laki,Orang tua dan kakak,12-24
KHCHVT,1991,DKI Jakarta - Jakarta,Perempuan,Orangtua,1-2
KLEUSP,1996,Bali - Kabupaten Jembrana,Perempuan,Orang tua,3-5
IWRKHC,1995,Bali - Kabupaten Karangasem,Perempuan,Orang tua,6-12
GFHMOB,1995,Bali - Kabupaten Bangli,Perempuan,Keluarga,12-24
JCCHKW,1994,Bali - Kabupaten Buleleng,Perempuan,Orang tua,3-5
UEYAQP,1995,Bali - Kabupaten Buleleng,Perempuan,Orang tua,lebih dari 24
FHATZW,1995,"Bali - Peliatan, Ubud",Perempuan,Orang tua,lebih dari 24
UMLXMC,1994,Bali - Kabupaten Buleleng,Perempuan,Orang tua,lebih dari 24
PUGNWG,1995,Bali - Kabupaten Tabanan,Perempuan,Orang Tua,6-12
UPYPND,1995, Bali - Kabupaten Tabanan,Laki,orang tua,6-12
VPDKYA,1994,Bali - Kabupaten Tabanan,Perempuan,Kedua ortu,3-5
UUSXXV,1995,Bali - Kabupaten Buleleng,Laki,Orang tua,lebih dari 24
FDNWAB,1995,Bali - Kabupaten Buleleng,Perempuan,Orangtua,lebih dari 24
QLVQCI,1994, Bali - Kabupaten Klungkung,Perempuan,Orangtua,3-5
BCNQJA,1995,Bali - Kabupaten Bangli,Perempuan,Orang tua,lebih dari 24
USFHIC,1995,Bali - Kabupaten Bangli,Perempuan,Orang tua,12-24
YMZVRF,1995,Bali - Kabupaten Bangli,Laki,Kedua orang tua,3-5
KZYUKO,1994,Bali - Kabupaten Jembrana,Laki,orang tua,1-2
SLYEAX,1995,Bali - Kabupaten Bangli,Laki,,3-5
IQVDTT,1995,Bali - Kabupaten Badung,Perempuan,orang tua,3-5
RIHFNT,1995, Bali - Kabupaten Badung,Laki,Orang tua,
GJGENE,1994,Bali - Kabupaten Karangasem,Perempuan,Orang Tua,lebih dari 24
EBKRLJ,1995,Bali - Singaraja,Perempuan,Orang tua,lebih dari 24
YCTHWR,,Bali - Negara,Laki,orang tua,3-5
MJRPFX,1995,Bali - SINGARAJA,Perempuan,ORANG TUA,lebih dari 24
BEDUCF,1995,Bali - Kabupaten Buleleng,Laki,ORANG TUA,lebih dari 24
AYSGGI,1995,Bali - Kabupaten Buleleng,Perempuan,ORANG TUA,3-5
YMPHSK,194,Bali - Kabupaten Buleleng,Perempuan,ORANG TUA DAN KAKEK NENEK,3-5
ATSRZH,1995,Bali - Kabupaten Gianyar,Laki,ORANG TUA,12-24
TTNETP,1977,Maluku Utara - Kota Ternate,Perempuan,Orang Tua,6-12
QVTVEC,1987, Maluku Utara - Kota Ternate,Laki,Orang tua,3-5
KGKWOU,1964,Maluku Utara - Makyan,Laki,Keluarga,3-5
XQJVFM,1981,Maluku Utara - Kota Ternate,Perempuan,Orang tua,lebih dari 24
TWGBKI,1976,Maluku Utara - Kota Ternate,Perempuan,Orang tua,6-12
QDBURI,1984,Maluku Utara - Kabupaten Kepulauan Sula,Perempuan,Kedua orang tua,lebih dari 24
ICZSAT,1967,Maluku Utara - Kota Ternate,Perempuan,orang tua,lebih dari 24
MPHUZB,1969,Maluku Utara - Kota Ternate,Perempuan,Orang Tua,lebih dari 24
UUOJCF,1983,Sulawesi Selatan - Kabupaten Bone,Laki,Orang tua,1-2
YRRILZ,1977,Maluku Utara - Kabupaten Halmahera Selatan,Laki,Orang Tua,3-5
EBJMFW,,Maluku Utara - Kota Ternate,Perempuan,Orang tua,lebih dari 24
HLHEUG,1976,Maluku Utara - Kabupaten Halmahera Tengah,Laki,Orang tua,
QTIEFL,1978,Maluku Utara - Kao,Laki,Orang Tua,lebih dari 24
KSUXCX,1993,"Riau - Pangean, Teluk Kuantan",Perempuan,Orang tua,3-5
REJDJW,1993,Sumatera Barat - Kabupaten Pasaman Barat,Perempuan,Orang Tua,3-5
XMBCVS,1995,Riau - Kota Pekanbaru,Perempuan,Orang tua,3-5
QNHJIN,1990,Sumatera Barat - Kota Bukittinggi,Perempuan,Orang Tua,3-5
KIIACP,1991,Sumatera Barat - Kabupaten Pasaman,Perempuan,Orang tua,
ODWQDU,1991,Sumatera Barat - Batusangkar,Perempuan,Orang tua,3-5
OJWPAL,1991,Sumatera Barat - Padang Pariaman,Perempuan,Nenek,3-5
JQFEMZ,1992,Sumatera Barat - Tapus,Perempuan,Orang Tua,lebih dari 24
LMLIVO,1993,Sumatera Barat - Kabupaten Dharmasraya,Perempuan,Orang Tua,12-24
WCCYOO,1992,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,Orang Tua,lebih dari 24
UAADSB,1995,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Nenek,3-5
ZPAJSB,1994,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua,lebih dari 24
GYLSDY,1992,Sumatera Barat - Kabupaten Pasaman,Perempuan,Orang tua,3-5
IESDQR,1993,Sumatera Utara - Sayurmatinggi,Perempuan,Orang Tua,6-12
CQJPQF,1995, Sumatera Barat - Kabupaten Pasaman,Perempuan,Orang tua,
DJYVAB,1991,Sumatera Barat - Inderapura,Perempuan,Orang Tua,3-5
GWPLFD,1995,Sumatera Barat - Kabupaten Dharmasraya,Perempuan,Orang Tua,
RQATYV,1992,Sumatera Barat - Kota Pariaman,Perempuan,Orang Tua,3-5
VVPKIL,1992,Sumatera Barat - Kabupaten Padang Pariaman,Laki,Orang Tua,0
USOCPL,1994,Sumatera Barat - Kabupaten Agam,Laki,Orang Tua,1-2
JUKHRP,1991,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua ,6-12
LSPQGV,1992,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua,lebih dari 24
EMGSNV,1995,Sumatera Barat - Kabupaten Solok,Perempuan,orang tua,3-5
ARXKHK,1993,Sumatera Barat - Kabupaten Pasaman,Laki,Bersama kedua Ortu,1-2
XDOXBH,1995,Sumatera Utara - Kota Medan,Laki,Orang Tua,1-2
PKHFHR,1996,Jambi - Muara Bungo,Laki,Orang tua,3-5
KGNATI,1995,Sumatera Barat - Kota Pariaman,Laki,Orang tua,lebih dari 24
XKTNYZ,1992,Riau - Kota Pekanbaru,Laki,Orang Tua,6-12
MEEENQ,0,Bali - Kabupaten Buleleng,Laki,Orang tua,
HBKRGL,1994,Jambi - Tungkal Ulu,Laki,Orang Tua,1-2
NPIDEY,1995,Bali - Kota Denpasar,Laki,ORANG TUA,
CLJUNW,1995,Jawa Timur - Kabupaten Tulungagung,Perempuan,ORANG TUA,lebih dari 24
AKGZSI,1995,Sumatera Barat - Kota Bukittinggi,Laki,Orang Tua,lebih dari 24
ADSYIB,1995,DKI Jakarta - JAKARTA,Laki,ORANG TUA,6-12
KURNFR,1996,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,ORANG TUA,lebih dari 24
GDDWCU,1994,Sumatera Barat - Kota Bukittinggi,Laki,orang tua,3-5
EAZZLU,1995,Sumatera Barat - Kota Padang,Laki,ORANG TUA,0
XCATUK,1995,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua,1-2
LDHYOT,1994,Sumatera Barat - Kota Payakumbuh,Perempuan,Orang tua,lebih dari 24
IFGMJN,1995, Sumatera Barat - Kabupaten Dharmasraya,Laki,Orang tua,1-2
GZHAOD,1995,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,Orang tua,1-2
VFERUG,1995,Riau,Perempuan,orang tua,1-2
SHFBVK,1994,Sumatera Barat - Kabupaten Solok Selatan,Laki,Kedua Orang Tua,3-5
LITLMQ,1993,Sumatera Barat - Kota Padang,Perempuan,Orang Tua,lebih dari 24
NAQDUW,1995,Sumatera Barat - Kabupaten Solok Selatan,Perempuan,Ayah dan ibu,lebih dari 24
KODTBY,1994,Sumatera Barat - Kabupaten Solok Selatan,Perempuan,ORANG TUA,lebih dari 24
GBWUZM,1994,Sumatera Barat - Kabupaten Pasaman Barat,Perempuan,orang tua,lebih dari 24
QTXERB,1995,Jambi - Kabupaten Tebo,Perempuan,Orang Tua dan adik (keluarga),3-5
TKQOHS,1995,Sumatera Barat - Kota Padang,Laki,Orang Tua Kandung,lebih dari 24
IVQOXZ,1990,Sumatera Barat - Kota Pariaman,Perempuan,"Nenek (Almh), Kakak laki-laki",3-5
CHTHDH,1995,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,Orang Tua,
SYTEIT,1994,Sumatera Selatan - Kabupaten Empat Lawang,Perempuan,ORANG TUA,3-5
WELVSB,1992,Sumatera Barat - Kabupaten Dharmasraya,Perempuan,Orang Tua,lebih dari 24
YVQCDB,1992,#NAME?,Perempuan,Orang tua,
UUHOYH,1992,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,ORANG TUA,
XFFCXC,1994,Jambi - Kabupaten Sarolangun,Perempuan,ORANG TUA,
XQZVOH,1995,Sumatera Barat - Kota Padang,Perempuan,ORANG TUA,12-24
BRSSCM,1995,Bengkulu - Kabupaten Bengkulu Selatan,Perempuan,Orang tua,3-5
ETJBWR,1994,Sumatera Barat - Kota Pariaman,Perempuan,Orang tua,lebih dari 24
BOANDK,1995,Sumatera Barat - Kotamadya,Perempuan,Ke-2 orang Tua,6-12
GMONND,1995,"Sumatera Barat - Solok, Kota Padang",Perempuan,Orang Tua kandung,3-5
UTVDVK,1991,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,Orang tua,6-12
XKTKIK,1984,Sumatera Barat - Kabupaten Dharmasraya,Laki,Ortu,
CFQWCX,1995,Sumatera Barat - Kota Padang,Perempuan,Orang tua,3-5
DRVHTU,1994,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,Orang tua,6-12
KRQEII,1994,Riau - Kabupaten Rokan Hulu,Perempuan,Orang tua,3-5
EBFPVB,1995,Sumatera Barat - Kota Padang,Laki,Umi,0
QLCMKJ,1995, Sumatera Barat - Kota Padang,Perempuan,Orang tua,3-5
CFETEU,1992,Sumatera Barat - Kabupaten Pasaman,Perempuan,keluarga,3-5
VDLBPO,1995,Sumatera Barat - Kota Padang,Perempuan,Orang Tua,1-2
XDXKJA,1995,Sumatera Barat - Kota Padang,Perempuan,Dengan kedua orang tua,lebih dari 24
PPNXFA,1995,Sumatera Barat - Kota Padang,Perempuan,Orang tua,12-24
YGTWJH,1995,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,ORAANG TUA,3-5
KQZWOF,1994,Sumatera Barat - Kota Padang,Perempuan,ORANG TUA,1-2
FWWZLK,1993,Sumatera Barat - Pesaman Timur,Laki,orang tua,3-5
YORVZW,1995,Sumatera Barat - Kabupaten Pesisir Selatan,PerempuanLaki,Orang tua,3-5
