session,birth_year,home_location,sex,caretaker,visit_frequency
WJSJFE,1996,Jawa Timur - Kabupaten Mojokerto,Perempuan,Orangtua,6-12
ZCGJWJ,1995,Jawa Timur - Kabupaten Lamongan,Perempuan,"Orangtua, adik",lebih dari 24
ATUKKM,1994,Jawa Timur - Kota Surabaya,Perempuan,Orangtua,lebih dari 24
SYNMVY,1995,Jawa Timur - Kabupaten Sidoarjo,Perempuan,"Ayah, ibu, kakak",3-5
PNCPYI,1995,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,1-2
EUTKUD,1995,Jawa Timur - Kota Surabaya,Perempuan,"Nenek, orangtua",3-5
JCCPEU,1995,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,lebih dari 24
BJAZVP,1993,Jawa Timur - Kabupaten Sidoarjo,Laki,Orangtua,lebih dari 24
JDFSFU,1995,Jawa Timur - Kabupaten Nganjuk,Perempuan,Orangtua,lebih dari 24
LNNZNU,1995,Jawa Timur - Kabupaten Nganjuk,Perempuan,Ibu bapak,lebih dari 24
OGRUYH,1994,Jawa Timur - Kabupaten Sidoarjo,Perempuan,Orangtua,12-24
OKPECE,1993,Jawa Timur - Kabupaten Sidoarjo,Laki,Orangtua,lebih dari 24
UUQOCE,1993,Jawa Timur - Kabupaten Sidoarjo,Laki,Orangtua,3-5
VITFXI,1994,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24
VBDKUT,1994,Jawa Timur - Krian,,Keluarga,lebih dari 24
JWEQVY,1994,Jawa Timur - Kabupaten Gresik,Perempuan,Keluarga,lebih dari 24
LBCANU,1995,Jawa Timur - Kabupaten Sidoarjo,Perempuan,Orangtua,lebih dari 24
ANXDJN,1993,Jawa Timur - Kabupaten Sidoarjo,Perempuan,Orangtua,lebih dari 24
UZXSKO,1993,Jawa Timur - Kabupaten Lamongan,Perempuan,"Ibu, Bapak, Adik",lebih dari 24
NTDPVJ,1994,Jawa Timur - Kabupaten Lamongan,Perempuan,"Ibu, adik",lebih dari 24
GXTPPG,1993,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,lebih dari 24
SBMNHY,1994,Jawa Timur - Kabupaten Pasuruan,Perempuan,"Ayah, ibu, kakak",3-5
YPAUCS,1994,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,12-24
ZYQGXZ,1993,Jawa Timur - Kabupaten Sidoarjo,Perempuan,Orangtua,3-5
MYCLSZ,1993,Jawa Timur - Kabupaten Jombang,Laki,Nenek,12-24
TJXPQU,1994,Jawa Tengah - Kabupaten Semarang,Laki,Orangtua,
PPUFZJ,1993,Jawa Tengah - Kabupaten Semarang,Perempuan,"Orangtua, kakak",12-24
HNRLWV,1995,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,lebih dari 24
QQLRTH,1994,Jambi - Kota Jambi,Perempuan,Orangtua,3-5
WETMOD,1994,Jawa Tengah - Kabupaten Pati,Perempuan,Orangtua,12-24
OCXGMC,1995,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,1-2
GPBFUK,1993,Jawa Tengah - Kabupaten Semarang,Laki,Orangtua,1-2
LZJEED,1994,Jawa Tengah - Kabupaten Semarang,Perempuan,Nenek,6-12
QVZCJU,1991,Jawa Tengah - Kabupaten Semarang,Laki,Kedua orangtua,lebih dari 24
JWICCR,1988,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,1-2
EZMSGC,1987,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,3-5
DFBDCN,1994,Jawa Tengah - Kabupaten Pati,Perempuan,Orangtua,lebih dari 24
RJAPLO,1990,Jawa Tengah - Kabupaten Semarang,Laki,Orangtua,3-5
BPKGYW,1992,Jawa Tengah - Kabupaten Semarang,Laki,Orangtua,3-5
QZEZQY,1992,Kalimantan Barat - Kabupaten Ketapang,Laki,Orangtua,lebih dari 24
QYCKKR,1993,Jawa Tengah - Purwodadi,Perempuan,"Orangtua, 1 orang kakak",12-24
VBDLSZ,1994,Jawa Timur - Kota Surabaya,Perempuan,Ibu,6-12
BJJOMF,1995,Jawa Tengah - Kabupaten Kudus,Perempuan,,3-5
VOJPLJ,1997,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orang tua,lebih dari 24
QANFKJ,1995,Jawa Timur - Kota Surabaya,Perempuan,Orang tua,1-2
XFWPQR,1995,Jawa Timur - Kabupaten Sidoarjo,Laki,ORANG TUA,6-12
AMAQDL,1994,Sulawesi Tengah - Kota Palu,Perempuan,ORANG TUA,lebih dari 24
DJEWYC,1995,Kalimantan Timur - Kota Samarinda,Laki,ORANG TUA,12-24
SFAVED,1995,Jawa Timur - Kota Surabaya,Laki,ORANG TUA,3-5
IZHXLH,1994,Jawa Timur - Kota Surabaya,Perempuan,KELUARGA,0
EDSPAZ,1994,Jawa Timur - Kota Surabaya,Perempuan,ORANG TUA DAN SAUDARA,lebih dari 24
QAGJKJ,1995,Jawa Timur - Kota Surabaya,Perempuan,KELUARGA,3-5
IOXIDR,1995,Bali - Kota Denpasar,Perempuan,KELUARGA,3-5
EXKZVS,1995,#NAME?,Perempuan,orang tua,
CBFRUD,1995,Gorontalo - Kabupaten Gorontalo,Laki,ORANG TUA,3-5
ZNWGMD,1994,Sulawesi Utara - Kota Manado,Laki,ORANG TUA,1-2
JLCZCU,1996,Kalimantan Tengah - Kota Palangka Raya,Perempuan,ORANG TUA,3-5
NNXUPD,1995,Jawa Timur - Kota Surabaya,Perempuan,ORANG TUA,6-12
NYHWTC,1995,Jawa Timur - Kabupaten Bojonegoro,Perempuan,"ORANG TUA, KAKAK, ADIK",3-5
WKRJWG,1995,Maluku - Kota Ambon,Perempuan,ORANG TUA,6-12
YITBGA,1992,Maluku - Kota Ambon,Perempuan,ORANG TUA,3-5
YWOODX,1995,"Jawa Timur - SURABAYA, SIDOARJO",Perempuan,ORANG TUA,lebih dari 24
GULNFT,1994,Jawa Timur - Kabupaten Ponorogo,Perempuan,ORNAG TUA,3-5
YTLLKJ,1995,Kalimantan Barat - Kabupaten Pontianak,Perempuan,ORANG TUA,12-24
OUOWES,1994,Sumatera Selatan - Tanjung Sakti Pumi,Perempuan,Orang tua,lebih dari 24
IXZCTZ,1995,Bengkulu - Kabupaten Mukomuko,Perempuan,ORANG TUA,lebih dari 24
CKKFWL,1995,Bengkulu - Kabupaten Kepahiang,Perempuan,ORANG TUA,12-24
HSZOJO,1994,Bengkulu - CURUP,Perempuan,ORANG TUA,12-24
ZAETQN,1995,Sumatera Utara - Kabupaten Samosir,Perempuan,ORANG TUA,1-2
UAFZTD,1995,Bengkulu - Kota Bengkulu,Perempuan,ORANG TUA,6-12
LVWZUV,1995,Bengkulu - Kota Bengkulu,Perempuan,ORANG TUA,3-5
TVNJYB,1994,Bengkulu - Kota Bengkulu,Perempuan,ORANG TUA,3-5
WTWSYL,1993,Bengkulu - Kabupaten Bengkulu Utara,Perempuan,ORANG TUA,lebih dari 24
TQHJYS,1995,Jambi - Kabupaten Kerinci,Perempuan,ORANG TUA,1-2
LCFUQY,1995,Bengkulu - ARGAMAKMUR,Perempuan,ORANG TUA,
EKPWKL,1995,Bengkulu - argamakmur,Perempuan,orang tua,1-2
BRIRLW,1994,Bengkulu - Kota Bengkulu,Perempuan,orang tua,3-5
NTCFAX,1995,Bengkulu - Kabupaten Bengkulu Utara,Perempuan,orang tua,lebih dari 24
XMDFKU,1994,Bengkulu - argamakmur,Perempuan,orang tua,
YMAKXI,1995,Bengkulu - Kota Bengkulu,Perempuan,ORANG TUA,3-5
KGHIOI,1995,Bengkulu - KOTA CUWP,Perempuan,"IBU, NENEK",3-5
HASWCM,1995,Bengkulu - Kabupaten Seluma,Perempuan,ORANG TUA,1-2
XDOXHP,1959,Jawa Timur - Kabupaten Malang,Perempuan,orang tua,1-2
VUSAUF,1995,Bengkulu - CURUP,Perempuan,KELUARGA,lebih dari 24
IWLTET,1993,Bengkulu - Kota Bengkulu,Perempuan,orang tua,
FJKASL,1995,Bengkulu - Kota Bengkulu,Perempuan,KEDUA ORTU,6-12
CRYMBL,1995,Bengkulu - curup bengkulu,Perempuan,masih dengan orang tua,3-5
YBMLQQ,,Sumatera Utara - Kota Medan,Laki,orang tua,lebih dari 24
AOJUGS,1995,Bengkulu - Kabupaten Bengkulu Selatan,Perempuan,dengan orang tua,12-24
IKXHDW,1993,Bengkulu - Kabupaten Seluma,Laki,ORANG TUA,lebih dari 24
RTQTSZ,1994,Bengkulu - Kabupaten Bengkulu Selatan,Perempuan,orang tua,3-5
HNCFNT,,Bengkulu - Kabupaten Kaur,Perempuan,ORANG TUA,3-5
HVIBMZ,1995,Bengkulu - MANNA,Perempuan,ORANG TUA,3-5
YQWDYM,1995,Sumatera Selatan - Kota Pagar Alam,Perempuan,ORANG TUA,lebih dari 24
SVAEFZ,1994, Bengkulu - Kota Bengkulu,Perempuan,ORANG TUA,3-5
WNZALX,1995,Sumatera Selatan - Kabupaten Empat Lawang,Perempuan,orang tua,lebih dari 24
RLRBTK,1993,Bengkulu - Kota Bengkulu,Perempuan,kedua orang tua,3-5
KQEZQG,1996,Sumatera Selatan - Kota Lubuklinggau|Lubuklinggau|-,Perempuan,orang tua,6-12
ZYHYLN,1995,Bengkulu - Kabupaten Mukomuko,Perempuan,orang tua,
BLLHMY,1983,Bengkulu - Kota Bengkulu,Perempuan,orang tua,1-2
YUASKE,1995,Bengkulu - Kabupaten Seluma,Perempuan,ORANG TUA,lebih dari 24
PHJTCP,1994,Bengkulu - Kota Bengkulu,Perempuan,ORNAG TUA,6-12
XMVASW,1982,Bengkulu - Kota Bengkulu,Perempuan,ORANG TUA,3-5
ITNKIA,1994,Bengkulu - Kabupaten Bengkulu Utara,Perempuan,ORANG TUA,1-2
QVDQDU,1986,Jawa Tengah - Kota Salatiga,Perempuan,"Bapak, Ibu",lebih dari 24
QYZKYF,1994,Jawa Tengah - Kota Semarang,Perempuan,Nenek,6-12
MFVLMV,1992,Jawa Tengah - Kabupaten Jepara,Laki,Orangtua,3-5
QDJRDF,1977,DKI Jakarta - Kota Jakarta,Perempuan,Orangtua,6-12
VLLQXL,1994,Jawa Tengah - Kota Semarang,Perempuan,Orangtua,1-2
EFXQKJ,1992,Jawa Tengah - Kabupaten Rembang,Laki,Orangtua,3-5
SMAMNO,1993,Jawa Tengah - Kabupaten Klaten,Perempuan,Keluarga,lebih dari 24
ONCYAC,1994,Jawa Tengah,Laki,Orangtua,3-5
CZHPMT,1993,Jawa Tengah - Kota Semarang,Laki,Orangtua,12-24
TKWWCB,1994,Jawa Tengah - Ungaran,Perempuan,Orangtua,lebih dari 24
JNFNZI,1995,Jawa Tengah - Kota Semarang,Perempuan,Orangtua,1-2
SQVLNM,1994,Jawa Tengah - Kabupaten Pati,Perempuan,Orangtua,12-24
AYSQRK,1993,Jawa Tengah - Kabupaten Blora,Perempuan,Orangtua,12-24
WMCUVW,1993,Jawa Tengah - Kota Semarang,Perempuan,Keluarga,lebih dari 24
JTQSEF,1987,Jawa Tengah - Kota Semarang,Perempuan,Orangtua,lebih dari 24
RWRBDF,1982,Jawa Tengah - Kota Semarang,Perempuan,"Orangtua, kakak",6-12
HEECCO,1984,Jawa Tengah - Kabupaten Semarang,Perempuan,Ortu,lebih dari 24
LNMICO,1989,Jawa Tengah - Kabupaten Semarang,Perempuan,Orang tua,6-12
SDBODH,1989,Jawa Tengah - Kabupaten Purbalingga,Perempuan,Orangtua,3-5
NANRNF,1990,Bali - Kabupaten Buleleng,Perempuan,Orangtua,1-2
BPGGZA,1989,Jawa Timur - Kabupaten Jombang,Perempuan,Orangtua,0
MHZJSX,1990,Jawa Timur - Kota Mojokerto,Perempuan,Orangtua,3-5
OLJTWW,1991,Jawa Timur - Kabupaten Mojokerto,Perempuan,Orangtua,lebih dari 24
XMERKP,1990,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,3-5
BHUQBI,1988,Jawa Tengah - Kabupaten Brebes,Laki,Orangtua,lebih dari 24
WAMPWA,1987,Jawa Tengah - Kabupaten Brebes,Laki,Orangtua,lebih dari 24
SKAXVZ,1983,Jawa Tengah - Kabupaten Tegal,Laki,Orangtua,lebih dari 24
ZKLCHY,1987,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,1-2
SQLWOZ,1990,Jawa Tengah - Kabupaten Rembang,Perempuan,"Ibu, nenek, kakek, adik",lebih dari 24
PMYSUL,1992,Nusa Tenggara Barat - Kota Praya,Perempuan,Orangtua,3-5
WGVSFD,1990,Jawa Tengah - Kabupaten Purworejo,Perempuan,"Orangtua, adik",1-2
CCBHLM,1992,Kalimantan Utara - Kota Tarakan,Perempuan,Orangtua,1-2
FCJHTD,1989,Jawa Tengah - Kabupaten Pati,Laki,Orangtua,1-2
NRHWML,1991,Jawa Tengah - Kabupaten Kudus,Perempuan,Orangtua,lebih dari 24
ZSNRDB,1974,Jawa Tengah - Solo,Laki,Orangtua,3-5
TUQDDQ,1989,Jawa Tengah - Kabupaten Demak,Perempuan,Orangtua,lebih dari 24
NPBJEN,1990,Jawa Tengah - Kabupaten Pekalongan,Perempuan,Orangtua,6-12
WVNYOO,1989,Jawa Tengah - Kabupaten Demak,Laki,Ayah dan Ibu,lebih dari 24
VLTLGC,1983,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,1-2
LICPWE,1989,Jawa Tengah - Kabupaten Grobogan,Laki,"Ayah, ibu, dan saudara kandung",12-24
XXTISG,1974,Jawa Tengah,Perempuan,Orangtua,3-5
CNZIFE,1979,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,lebih dari 24
MIKHHF,1990,Jawa Tengah - Kabupaten Pekalongan,Perempuan,Keluarga,lebih dari 24
EGKQEG,1989,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,6-12
PMBVYE,1991,Jawa Barat - Kabupaten Cirebon,Perempuan,Keluarga,lebih dari 24
NRANVH,1992,Jawa Timur - Kabupaten Nganjuk,Perempuan,Orangtua,lebih dari 24
XZHXRO,1992,Jawa Tengah - Kabupaten Brebes,Perempuan,Orangtua,lebih dari 24
JPHIZY,1987,Jawa Timur - Kabupaten Lumajang,Perempuan,Orangtua,3-5
TMHSDU,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,12-24
MEQXSG,1994,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24
WTQKGU,1993,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24
WVNKOI,1995,Jawa Timur - Kabupaten Lamongan,Perempuan,Keluarga,lebih dari 24
EBLUCX,1992,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
IPLCQQ,1995,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
BMFRMG,1993,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,lebih dari 24
CSVUXG,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,3-5
HSOLGS,1995,"Jawa Timur - Merakurak, Tuban",Perempuan,Orangtua,12-24
QLACPQ,1995,Jawa Timur - Kabupaten Tuban,Perempuan,"Nenek, Keluarga",6-12
IRECHI,1992,Jawa Tengah - Kabupaten Rembang,Perempuan,,6-12
XBNRKQ,1992,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,lebih dari 24
CLSPGN,1993,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,6-12
OWFMCI,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
VWFTPO,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,3-5
JPITTU,1993,Jawa Timur - Kabupaten Lamongan,Perempuan,Nenek,lebih dari 24
NAYYBB,1994,Jawa Timur - Kabupaten Tuban,Laki,Keluarga,lebih dari 24
FJKZQL,1992,Kalimantan Timur - Kota Balikpapan,Perempuan,Keluarga,1-2
WMPMWR,1990,di luar Indonesia - Malaysia,Laki,Orangtua,3-5
FGTIKB,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
AXKIHD,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,1-2
FWVOLG,1996,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,1-2
HGZSBL,1995,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,1-2
SYYMKI,1995,Jawa Barat - Kabupaten Karawang,Perempuan,Orangtua,lebih dari 24
RANLIX,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,
AARZIP,1992,Jawa Timur - Kabupaten Tuban,Perempuan,"Ibu, ayah",lebih dari 24
JUNCDC,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,3-5
YWNEUF,1990,Jawa Timur - Kabupaten Tuban,Laki,,
YCPWKC,1993,Jawa Tengah - Kabupaten Rembang,Perempuan,Keluarga,lebih dari 24
QPLHTP,1993,Jawa Timur - Kabupaten Tuban,Laki,"Ayah, ibu dan kakak",lebih dari 24
GFYCEE,1991,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,1-2
PKAKXT,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,6-12
IPCNHA,1991,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,6-12
EHCGFI,1992,Jawa Timur - Kabupaten Lamongan,Laki,Orangtua,12-24
URUPEF,1990,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24
KCOBAA,1991,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,6-12
KKBXGP,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,
FCUOCE,1993,Jawa Timur - Kabupaten Tuban,Perempuan,"Bapak, ibu, kakak",lebih dari 24
OVLFQE,1992,Jawa Timur - Kabupaten Bojonegoro,Perempuan,"Ayah, ibu, kakak, adik",lebih dari 24
JLSUIW,1992,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,6-12
RGPWGL,1978,Jawa Timur - Kabupaten Tuban,Laki,Orangtua dan nenek,lebih dari 24
IJEQBG,1992,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24
SSEWOV,1993,Jawa Tengah - Kabupaten Rembang,Laki,Orangtua,6-12
DKUBLO,1991,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,
PNBJVH,1992,Jawa Timur - Kabupaten Bojonegoro,Perempuan,Orangtua,lebih dari 24
NOFMXQ,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
GEMJTJ,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
DTBIIE,1992,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,lebih dari 24
FJLRSB,1992,Jawa Timur - Desa Karang Agung,Perempuan,Orangtua,6-12
OKBHUK,1993,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,
UBOPKU,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
ZIXHQV,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,6-12
APSLBH,1991,Jawa Timur - Kabupaten Lamongan,Laki,Orangtua,6-12
JTWNZZ,1992,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
CGEMWE,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
MYMLFP,1992,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
VDFXXH,1992,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,lebih dari 24
FRWAFD,1992,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,1-2
BMUHPT,1991,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,1-2
OBLMPG,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
VHGHCS,1993,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,1-2
ZFTLQA,1992,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,lebih dari 24
KDYKSR,1986,Jawa Timur - Kabupaten Bojonegoro,Perempuan,Orangtua,lebih dari 24
BJRKZJ,1992,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24
EXAPWK,1992,Jawa Timur - Kabupaten Lamongan,Perempuan,Wiraswasta,3-5
